month,reporter_code,partner_code,commodity_code,flow_code,trade_value_usd,flow_volume,published_at,available_at,vintage_date,source
2024-01,699,344,6203,M,130931.141,3540.428,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,360,6203,M,53273.602,1530.281,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,380,6203,M,721045.371,15330.36,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,392,6203,M,10045.528,93.369,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,400,6203,M,58294.61,2027.889,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,418,6203,M,1650.345,41.577,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,524,6203,M,113388.576,3511.871,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,528,6203,M,18036.086,562.238,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,620,6203,M,10117.451,314.789,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,699,6203,M,39632.428,1345.34,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,702,6203,M,2218.171,24.68,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,704,6203,M,1125677.261,30156.619,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,724,6203,M,88554.169,2388.56,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,757,6203,M,87147.993,1416.611,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,764,6203,M,117340.959,1615.148,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,784,6203,M,964.308,33.372,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,788,6203,M,542398.559,17899.896,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,792,6203,M,977254.355,29293.791,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,826,6203,M,20154.054,341.826,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,842,6203,M,1341.074,39.997,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,0,6204,M,15450922.459,0.0,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,4,6204,M,500.847,8.223,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,50,6204,M,5884791.68,195096.161,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,56,6204,M,21970.81,784.074,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
2024-01,699,76,6204,M,7312.713,247.752,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,2026-08-28T16:47:18.834365+00:00,un_comtrade
